level_0,index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url,googlemap_url,review_num,review_rating_avg
165,165,xinmin,Xinmin Primary School,https://sgschooling.com/img/logo/xinmin.jpg,Hougang,9 Hougang Avenue 8 S538784,538784,https://xinminpri.moe.edu.sg/,,false,false,false,false,,Xinmin Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xinmin-primary-school,"https://www.google.com/maps/place/Xinmin+Primary+School/@1.371371,103.8804991,17z/data=!3m1!4b1!4m6!3m5!1s0x31da164f067bc2c9:0x94ddd8e46f2b0e72!8m2!3d1.371371!4d103.883074!16s%2Fg%2F1tjclzqm?entry=ttu",16,3.625
166,166,xishan,Xishan Primary School,https://sgschooling.com/img/logo/xishan.jpg,Yishun,8 Yishun Street 21 S768611,768611,https://www.xishanpri.moe.edu.sg/,,false,false,false,false,,Xishan Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=xishan-primary-school,"https://www.google.com/maps/place/Xishan+Primary+School/@1.4334915,103.8349089,17z/data=!3m1!4b1!4m6!3m5!1s0x31da146413d82e4d:0xe02fb11f123982a4!8m2!3d1.4334915!4d103.8374838!16s%2Fg%2F1tddppw0?entry=ttu",19,4.63157894736842
167,167,yangzheng,Yangzheng Primary School,https://sgschooling.com/img/logo/yangzheng.jpg,Serangoon,15 Serangoon Avenue 3 S556108,556108,http://www.yangzhengpri.moe.edu.sg/,,false,false,false,false,,Yangzheng Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yangzheng-primary-school,"https://www.google.com/maps/place/Yangzheng+Primary+School/@1.349218,103.8659796,17z/data=!3m2!4b1!5s0x31da17a0a1531c65:0x1db616841c25a253!4m6!3m5!1s0x31da17a0a25cefb1:0x7e686d856fef8661!8m2!3d1.349218!4d103.8685545!16s%2Fg%2F1tjdcp_0?entry=ttu",28,3.60714285714286
168,168,yew-tee,Yew Tee Primary School,https://sgschooling.com/img/logo/yew-tee.jpg,Choa Chu Kang,10 Choa Chu Kang St 64 S689100,689100,http://www.yewteepri.moe.edu.sg,,false,false,false,false,,Yew Tee Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yew-tee-primary-school,"https://www.google.com/maps/place/Yew+Tee+Primary+School/@1.396978,103.74861,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11f35b5c24cb:0x5d55b27a03e519b7!8m2!3d1.396978!4d103.7511849!16s%2Fg%2F1tm8h2dg?entry=ttu",30,4.23333333333333
169,169,yio-chu-kang,Yio Chu Kang Primary School,https://sgschooling.com/img/logo/yio-chu-kang.jpg,Hougang,1 Hougang Street 51 S538720,538720,http://www.yiochukangpri.moe.edu.sg,,false,false,false,false,,Yio Chu Kang Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yio-chu-kang-primary-school,"https://www.google.com/maps/place/Yio+Chu+Kang+Primary+School/@1.377996,103.8830067,17z/data=!3m2!4b1!5s0x31da164d0342464f:0xbc71a40ddc7f98c3!4m6!3m5!1s0x31da164400192e39:0x27e3a5b64e84cc8d!8m2!3d1.377996!4d103.8855816!16s%2Fg%2F1tfd9zqc?entry=ttu",28,4.21428571428571
170,170,yishun,Yishun Primary School,https://sgschooling.com/img/logo/yishun.jpg,Yishun,500 Yishun Ring Road S768679,768679,http://www.yishunpri.moe.edu.sg,,false,false,false,false,,Yishun Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yishun-primary-school,"https://www.google.com/maps/place/Yishun+Primary+School/@1.4334926,103.8312378,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1464ba4fb46b:0x252b1d78aa507588!8m2!3d1.4334926!4d103.8338127!16s%2Fg%2F1vmqzx9m?entry=ttu",24,4.29166666666667
171,171,yu-neng,Yu Neng Primary School,https://sgschooling.com/img/logo/yu-neng.jpg,Bedok,56 Bedok North St 3 S469623,469623,http://www.ynps.moe.edu.sg/,,false,false,false,false,,Yu Neng Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yu-neng-primary-school,"https://www.google.com/maps/place/Yu+Neng+Primary+School/@1.3338292,103.929322,17z/data=!3m2!4b1!5s0x31da3d48b80c796b:0x4a3ad84e125fb344!4m6!3m5!1s0x31da3d48c88f81b3:0x70554043c5b9d5f8!8m2!3d1.3338292!4d103.9318969!16s%2Fg%2F1tm2766_?entry=ttu",26,4.11538461538461
172,172,yuhua,Yuhua Primary School,https://sgschooling.com/img/logo/yuhua.jpg,Jurong East,158 Jurong East Street 24 S609558,609558,http://www.yuhuapri.moe.edu.sg,,false,false,false,false,,Yuhua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yuhua-primary-school,"https://www.google.com/maps/place/Yuhua+Primary+School/@1.3429774,103.738336,17z/data=!3m1!4b1!4m6!3m5!1s0x31da101765b3b8b9:0xf19aa8496fb28764!8m2!3d1.3429774!4d103.7409109!16s%2Fm%2F09v5xhl?entry=ttu",17,4.52941176470588
173,173,yumin,Yumin Primary School,https://sgschooling.com/img/logo/yumin.jpg,Tampines,3 Tampines Street 21 S529393,529393,http://www.yuminpri.moe.edu.sg,,false,false,false,false,,Yumin Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=yumin-primary-school,"https://www.google.com/maps/place/Yumin+Primary+School/@1.3516199,103.9485502,17z/data=!3m2!4b1!5s0x31da3d1a5b5f8277:0x510d10700c922d9c!4m6!3m5!1s0x31da3d1a5e070729:0xe46e668e1d3d1d67!8m2!3d1.3516199!4d103.9511251!16s%2Fg%2F1tf_dylx?entry=ttu",27,4.22222222222222
174,174,zhangde,Zhangde Primary School,https://sgschooling.com/img/logo/zhangde.jpg,Bukit Merah,51 Jalan Membina S169485,169485,http://www.zhangdepri.moe.edu.sg/,,false,false,false,false,,Zhangde Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhangde-primary-school,"https://www.google.com/maps/place/Zhangde+Primary+School/@1.2842268,103.824131,17z/data=!3m1!4b1!4m6!3m5!1s0x31da197c1ee9c1ab:0x125c0f6153e36871!8m2!3d1.2842268!4d103.8267059!16s%2Fg%2F1tcz5vhg?entry=ttu",25,3.92
175,175,tao-nan,Tao Nan School,https://sgschooling.com/img/logo/tao-nan.jpg,Marine Parade,49 Marine Crescent S449761,449761,http://www.taonan.moe.edu.sg,"Singapore Hokkein Huay Kuan, 2y membership, 80h ",true,false,false,true,,Tao Nan School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=tao-nan-school,"https://www.google.com/maps/place/Tao+Nan+School/@1.3049059,103.9088591,17z/data=!3m1!4b1!4m6!3m5!1s0x31da187454c4babb:0xae796cadd2bae200!8m2!3d1.3049059!4d103.911434!16zL20vMDQydnBf?entry=ttu",43,4.2093023255814
176,176,zhenghua,Zhenghua Primary School,https://sgschooling.com/img/logo/zhenghua.jpg,Bukit Panjang,9 Fajar Road S679002,679002,http://www.zhenghuapri.moe.edu.sg,,false,false,false,false,,Zhenghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhenghua-primary-school,"https://www.google.com/maps/place/Zhenghua+Primary+School/@1.3796697,103.7667069,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11a3de6f1e25:0x613db526f67806f5!8m2!3d1.3796697!4d103.7692818!16zL20vMDc1azU1?entry=ttu",28,4.57142857142857
177,177,zhonghua,Zhonghua Primary School,https://sgschooling.com/img/logo/zhonghua.jpg,Serangoon,12 Serangoon Avenue 4 S556095,556095,http://www.zhonghuapri.moe.edu.sg,,false,false,false,false,,Zhonghua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=zhonghua-primary-school,"https://www.google.com/maps/place/Zhonghua+Primary+School/@1.3598531,103.8669992,17z/data=!3m2!4b1!5s0x31da17aa2967fb09:0xcf3121e3b5fa38f6!4m6!3m5!1s0x31da17aa39517ac9:0xec3925b798d00a36!8m2!3d1.3598531!4d103.8695741!16s%2Fg%2F1tg29_yk?entry=ttu",19,3.31578947368421
178,178,valour,Valour Primary School,https://sgschooling.com/img/logo/valour.jpg,Punggol,49 Punggol Central S828728,828728,http://valourpri.moe.edu.sg,,false,false,false,false,,Valour Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=valour-primary-school,"https://www.google.com/maps/place/Valour+Primary+School/@1.4068022,103.8971378,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15c557c423f7:0xf5139a2645b3c730!8m2!3d1.4068022!4d103.8997127!16s%2Fg%2F11h4dnydbz?entry=ttu",5,5
179,179,northshore,Northshore Primary School,https://sgschooling.com/img/logo/northshore.jpg,Punggol,30 Northshore Drive S828671,828671,https://northshorepri.moe.edu.sg/,,false,false,false,false,,Northshore Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=northshore-primary-school,"https://www.google.com/maps/place/Northshore+Primary+School/@1.4185055,103.9022127,17z/data=!3m1!4b1!4m6!3m5!1s0x31da151672867559:0x3e7afd40f2835108!8m2!3d1.4185055!4d103.9047876!16s%2Fg%2F11jm9sf40c?entry=ttu",8,4.5
180,180,anglo-chinese-primary,Anglo-Chinese School (Primary),https://sgschooling.com/img/logo/anglo-chinese-primary.jpg,Novena,50 Barker Road S309918,309918,http://www.acspri.moe.edu.sg/,,false,true,false,true,"Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",Anglo-Chinese School (Primary).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=anglochinese-school-primary,"https://www.google.com/maps/place/Anglo-Chinese+School+(Primary)/@1.3187555,103.8332573,17z/data=!3m2!4b1!5s0x31da19e513766b29:0xe69302c3b64033c9!4m6!3m5!1s0x31da19e511ef79d7:0xcb1b17478913ff6!8m2!3d1.3187555!4d103.8358322!16s%2Fg%2F11g6_17zy9?entry=ttu",,
181,181,henry-park,Henry Park Primary School,https://sgschooling.com/img/logo/henry-park.jpg,Bukit Timah,1 Holland Grove Road S278790,278790,http://www.henryparkpri.moe.edu.sg,"40h, apply in Nov",false,false,false,true,,Henry Park Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=henry-park-primary-school,"https://www.google.com/maps/place/Henry+Park+Primary+School/@1.3167825,103.7815614,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a7ad360fdd1:0x84be576780039749!8m2!3d1.3167825!4d103.7841363!16s%2Fm%2F010nh4zm?entry=ttu",44,4.43181818181818
182,182,nan-hua,Nan Hua Primary School,https://sgschooling.com/img/logo/nan-hua.jpg,Clementi,30 Jalan Lempeng S128806,128806,http://www.nanhuapri.moe.edu.sg,"40h, requires interview, apply in Mar",true,false,false,true,,Nan Hua Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=nan-hua-primary-school,"https://www.google.com/maps/place/Nan+Hua+Primary+School/@1.3197989,103.7593679,17z/data=!3m2!4b1!5s0x31da1af28d87b3f3:0xa47df18d807ae1d4!4m6!3m5!1s0x31da1a9aed932877:0x4de6449b4b56bf61!8m2!3d1.3197989!4d103.7619428!16zL20vMDZnYjA0?entry=ttu",25,4.24
183,183,raffles-girls,Raffles Girls' Primary School,https://sgschooling.com/img/logo/raffles-girls.jpg,Bukit Timah,21 Hillcrest Road S289072,289072,http://www.rafflesgirlspri.moe.edu.sg,"60h, requires interview, apply in Dec",false,false,true,true,,Raffles Girls' Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=raffles-girls-primary-school,"https://www.google.com/maps/place/Raffles+Girls'+Primary+School/@1.3299574,103.8036487,17z/data=!3m1!4b1!4m6!3m5!1s0x31da10a6f4ab1be3:0x12a42b6236e5b095!8m2!3d1.3299574!4d103.8062236!16s%2Fg%2F11b6dp7r88?entry=ttu",13,4.69230769230769
184,184,st-hilda,St. Hilda's Primary School,https://sgschooling.com/img/logo/st-hilda.jpg,Tampines,2 Tampines Ave 3 S529706,529706,http://www.shps.moe.edu.sg,"Weekly for 2 years, apply by Aug",false,false,false,true,St. Hilda’s Secondary School,St. Hilda's Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-hildas-primary-school,"https://www.google.com/maps/place/St+Hilda's+Primary+School/@1.3496843,103.9335296,17z/data=!3m1!4b1!4m6!3m5!1s0x10040541077537f7:0x1026eb161a7facf6!8m2!3d1.3496843!4d103.9361045!16s%2Fg%2F11b6hww8hk?entry=ttu",13,4.07692307692308
185,185,st-margaret,St. Margaret's School (Primary),https://sgschooling.com/img/logo/st-margaret.jpg,Central,99 Wilkie Road S228091,228091,https://stmargaretspri.moe.edu.sg,,false,false,true,false,St. Margaret’s Secondary School,St. Margaret's School (Primary).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-margarets-school-primary,"https://www.google.com/maps/search/St.+Margaret%E2%80%99s+School+(Primary)+(99+Wilkie+Road+S228091)/@1.3144056,103.8433632,14z/data=!3m1!4b1?entry=ttu",,
