index,school_id,year,category,1,2A(1),2A(2),2B,2C,2C(S),3,Total,sort_id
173,ai-tong,2013,taken,170,76,69,8,7,0,0,330,3
174,ai-tong,2013,vacancy,0,0,0,8,7,0,0,330,1
175,ai-tong,2014,applied,0,0,0,37,49,0,0,0,2
176,ai-tong,2014,ballot,,,,,,,,,4
177,ai-tong,2014,odds,,,,0.837837837837838,0.612244897959184,,,,5
178,ai-tong,2014,taken,138,82,49,31,30,0,0,330,3
179,ai-tong,2014,vacancy,0,0,0,31,30,0,0,330,1
180,ai-tong,2015,applied,0,0,0,28,44,0,0,0,2
181,ai-tong,2015,ballot,,,,,,,,,4
182,ai-tong,2015,odds,,,,0.714285714285714,0.5,,,,5
183,ai-tong,2015,taken,158,98,34,18,22,0,0,330,3
184,ai-tong,2015,vacancy,0,0,0,20,22,0,0,330,1
185,ai-tong,2016,applied,0,0,0,36,56,0,0,0,2
186,ai-tong,2016,ballot,,,,,,,,,4
187,ai-tong,2016,odds,,,,0.972222222222222,0.660714285714286,,,,5
188,ai-tong,2016,taken,122,94,44,33,37,0,0,330,3
189,ai-tong,2016,vacancy,0,0,0,35,37,0,0,330,1
190,ai-tong,2017,applied,0,0,0,35,45,0,0,0,2
191,ai-tong,2017,ballot,,,,,,,,,4
192,ai-tong,2017,odds,,,,0.828571428571429,0.733333333333333,,,,5
193,ai-tong,2017,taken,138,97,37,25,33,0,0,330,3
194,ai-tong,2017,vacancy,0,0,0,29,33,0,0,330,1
195,ai-tong,2018,applied,0,0,0,28,60,0,0,0,2
196,ai-tong,2018,ballot,,,,,,,,,4
197,ai-tong,2018,odds,,,,0.75,0.366666666666667,,,,5
198,ai-tong,2018,taken,165,109,15,19,22,0,0,330,3
199,ai-tong,2018,vacancy,0,0,0,21,22,0,0,330,1
200,ai-tong,2019,applied,121,84,36,32,55,0,0,0,2
201,ai-tong,2019,ballot,,,,SC>2,SC<1,,,,4
202,ai-tong,2019,odds,,,,0.96875,0.545454545454545,,,,5
203,ai-tong,2019,taken,121,84,36,31,30,0,0,302,3
204,ai-tong,2019,vacancy,260,139,55,31,30,0,0,300,1
205,ai-tong,2020,applied,143,110,29,27,64,0,0,0,2
206,ai-tong,2020,ballot,,,SC1-2,SC<1,SC<1,,,,4
207,ai-tong,2020,odds,,,0.310344827586207,0.740740740740741,0.3125,,,,5
208,ai-tong,2020,taken,143,110,9,20,20,0,0,302,3
209,ai-tong,2020,vacancy,260,117,9,20,20,0,0,300,1
210,ai-tong,2021,applied,147,113,0,38,66,0,0,0,2
211,ai-tong,2021,ballot,,,,SC<1,SC<1,,,,4
212,ai-tong,2021,odds,,,,0.526315789473684,0.303030303030303,,,,5
213,ai-tong,2021,taken,147,113,0,20,20,0,0,300,3
214,ai-tong,2021,vacancy,260,113,0,20,20,0,0,300,1
215,ai-tong,2022,applied,130,146,0,48,86,0,0,0,2
216,ai-tong,2022,ballot,,SC>2,,SC<1,SC<1,,,,4
217,ai-tong,2022,odds,,0.753424657534247,,0.416666666666667,0.488372093023256,,,,5
218,ai-tong,2022,taken,130,110,0,20,42,0,0,302,3
219,ai-tong,2022,vacancy,240,110,0,20,42,0,0,300,1
220,ai-tong,2023,applied,114,120,0,56,78,0,0,0,2
221,ai-tong,2023,ballot,,,,SC<1,SC<1,,,,4
222,ai-tong,2023,odds,,,,0.392857142857143,0.576923076923077,,,,5
223,ai-tong,2023,taken,114,120,0,22,45,0,0,301,3
224,ai-tong,2023,vacancy,240,126,0,22,45,0,0,300,1
225,alexandra,2013,applied,0,0,0,0,232,0,0,0,2
226,alexandra,2013,ballot,,,,,,,,,4
227,alexandra,2013,odds,,,,1,0.905172413793103,,,,5
228,alexandra,2013,taken,0,0,0,0,210,0,0,210,3
229,alexandra,2013,vacancy,0,0,0,105,210,0,0,210,1
230,alexandra,2014,applied,0,0,0,4,254,0,0,0,2
231,alexandra,2014,ballot,,,,,,,,,4
232,alexandra,2014,odds,,,,1,0.736220472440945,,,,5
233,alexandra,2014,taken,18,0,1,4,187,0,0,210,3
234,alexandra,2014,vacancy,0,0,0,96,187,0,0,210,1
235,alexandra,2015,applied,0,0,0,6,206,0,0,0,2
236,alexandra,2015,ballot,,,,,,,,,4
237,alexandra,2015,odds,,,,1,0.733009708737864,,,,5
238,alexandra,2015,taken,53,0,0,6,151,0,0,210,3
239,alexandra,2015,vacancy,0,0,0,79,151,0,0,210,1
240,alexandra,2016,applied,0,0,0,3,147,0,0,0,2
241,alexandra,2016,ballot,,,,,,,,,4
242,alexandra,2016,odds,,,,1,0.897959183673469,,,,5
243,alexandra,2016,taken,73,0,2,3,132,0,0,210,3
244,alexandra,2016,vacancy,0,0,0,68,132,0,0,210,1
245,alexandra,2017,applied,0,0,0,2,161,0,0,0,2
246,alexandra,2017,ballot,,,,,,,,,4
247,alexandra,2017,odds,,,,1,0.788819875776398,,,,5
248,alexandra,2017,taken,82,0,0,2,127,0,0,211,3
249,alexandra,2017,vacancy,0,0,0,65,127,0,0,210,1
250,alexandra,2018,applied,0,0,0,4,128,0,0,0,2
251,alexandra,2018,ballot,,,,,,,,,4
252,alexandra,2018,odds,,,,1,0.8828125,,,,5
253,alexandra,2018,taken,90,0,3,4,113,0,0,210,3
254,alexandra,2018,vacancy,0,0,0,59,113,0,0,210,1
255,alexandra,2019,applied,99,1,3,6,127,0,0,0,2
256,alexandra,2019,ballot,,,,,SC<1,,,,4
257,alexandra,2019,odds,,,,,0.811023622047244,,,,5
258,alexandra,2019,taken,99,1,3,6,103,0,0,212,3
259,alexandra,2019,vacancy,170,71,70,54,103,0,0,210,1
260,alexandra,2020,applied,103,0,5,14,132,0,0,0,2
261,alexandra,2020,ballot,,,,,SC<1,,,,4
262,alexandra,2020,odds,,,,,0.628787878787879,,,,5
263,alexandra,2020,taken,103,0,5,14,83,0,0,205,3
264,alexandra,2020,vacancy,160,57,57,47,83,0,0,200,1
265,alexandra,2021,applied,95,0,10,6,112,0,0,0,2
266,alexandra,2021,ballot,,,,,SC<1,,,,4
267,alexandra,2021,odds,,,,,0.8125,,,,5
268,alexandra,2021,taken,95,0,10,6,91,0,0,202,3
269,alexandra,2021,vacancy,160,65,66,48,91,0,0,200,1
270,alexandra,2022,applied,75,9,0,4,146,0,0,0,2
271,alexandra,2022,ballot,,,,,SC<1#,,,,4
272,alexandra,2022,odds,,,,,0.773972602739726,,,,5
273,alexandra,2022,taken,75,9,0,4,113,0,0,201,3
274,alexandra,2022,vacancy,140,65,0,39,113,0,0,200,1
275,alexandra,2023,applied,57,13,0,4,141,0,0,0,2
276,alexandra,2023,ballot,,,,,SC>2,,,,4
277,alexandra,2023,odds,,,,,0.900709219858156,,,,5
278,alexandra,2023,taken,57,13,0,4,127,0,0,201,3
279,alexandra,2023,vacancy,140,83,0,43,127,0,0,200,1
280,anchor-green,2009,applied,0,0,0,0,110,85,0,0,2
281,anchor-green,2009,ballot,,,,,,,,,4
282,anchor-green,2009,odds,,,,1,1,0.929411764705882,,,5
283,anchor-green,2009,taken,50,0,1,0,110,79,0,240,3
284,anchor-green,2009,vacancy,0,0,0,95,189,79,0,240,1
285,anchor-green,2010,applied,0,0,0,0,117,75,0,0,2
286,anchor-green,2010,ballot,,,,,,,,,4
287,anchor-green,2010,odds,,,,1,1,0.946666666666667,,,5
288,anchor-green,2010,taken,81,0,1,0,117,71,0,270,3
289,anchor-green,2010,vacancy,0,0,0,94,188,71,0,270,1
290,anchor-green,2011,applied,0,0,0,1,141,68,0,0,2
