index,school_id,name,logo_url,area,address,postal_code,website,parent_volunteer,type_sap,type_boys-only,type_girls-only,type_gep,affiliations,logo_url2,moe_url
138,st-anthony,St. Anthony's Primary School,https://sgschooling.com/img/logo/st-anthony.jpg,Bukit Batok,30 Bukit Batok St 32 S659401,659401,http://www.stanthonyspri.moe.edu.sg,,false,false,false,false,"St. Joseph’s Institution, St. Patrick’s School",St. Anthony's Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-anthonys-primary-school
137,st-anthony-canossian,St. Anthony's Canossian Primary School,https://sgschooling.com/img/logo/st-anthony-canossian.jpg,Bedok,1602 Bedok North Ave 4 S469701,469701,http://www.stanthonyscanossianpri.moe.edu.sg,,false,false,true,false,St. Anthony’s Canossian Secondary School,St. Anthony's Canossian Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-anthonys-canossian-primary-school
139,st-gabriel,St. Gabriel's Primary School,https://sgschooling.com/img/logo/st-gabriel.jpg,Serangoon,220 Lorong Chuan S556742,556742,http://www.stgabrielspri.moe.edu.sg,,false,true,false,false,St. Gabriel’s Secondary School,St. Gabriel's Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-gabriels-primary-school
184,st-hilda,St. Hilda's Primary School,https://sgschooling.com/img/logo/st-hilda.jpg,Tampines,2 Tampines Ave 3 S529706,529706,http://www.shps.moe.edu.sg,"Weekly for 2 years, apply by Aug",false,false,false,true,St. Hilda’s Secondary School,St. Hilda's Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-hildas-primary-school
141,st-joseph-institution-junior,St. Joseph's Institution Junior,https://sgschooling.com/img/logo/st-joseph-institution-junior.jpg,Novena,3 Essex Road S309331,309331,https://sjijunior.moe.edu.sg,,false,true,false,false,"St. Joseph’s Institution, St. Patrick’s School",St. Joseph's Institution Junior.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-josephs-institution-junior
185,st-margaret,St. Margaret's School (Primary),https://sgschooling.com/img/logo/st-margaret.jpg,Central,99 Wilkie Road S228091,228091,https://stmargaretspri.moe.edu.sg,,false,false,true,false,St. Margaret’s Secondary School,St. Margaret's School (Primary).jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-margarets-school-primary
142,st-stephen,St. Stephen's School,https://sgschooling.com/img/logo/st-stephen.jpg,Bedok,20 Siglap View S455789,455789,http://www.ststephens.moe.edu.sg,,false,true,false,false,"St. Joseph’s Institution, St. Patrick’s School",St. Stephen's School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=st-stephens-school
143,stamford,Stamford Primary School,https://sgschooling.com/img/logo/stamford.jpg,Central,1 Victoria Lane S198423,198423,,,false,false,false,false,,,
145,tampines,Tampines Primary School,https://sgschooling.com/img/logo/tampines.jpg,Tampines,250 Tampines Street 12 S529426,529426,http://www.tampinespri.moe.edu.sg,,false,false,false,false,,Tampines Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=tampines-primary-school
144,tampines-north,Tampines North Primary School,https://sgschooling.com/img/logo/tampines-north.jpg,Tampines,30 Tampines Avenue 9 S529565,529565,http://www.tampinesnorthpri.moe.edu.sg,,false,false,false,false,,Tampines North Primary School.jpg,https://www.moe.gov.sg/schoolfinder/schooldetail?schoolname=tampines-north-primary-school
