index,school_id,year,phase,applied,vacancy,ballot,odds
244,ai-tong,2009,2C,64,48,,0.75
245,ai-tong,2009,2C(S),0,0,,
246,ai-tong,2009,3,0,0,,
247,ai-tong,2009,Total,0,330,,1
248,ai-tong,2010,1,0,0,,
249,ai-tong,2010,2A(1),0,0,,
250,ai-tong,2010,2A(2),0,0,,
251,ai-tong,2010,2B,56,37,,0.660714285714286
252,ai-tong,2010,2C,68,37,,0.544117647058823
253,ai-tong,2010,2C(S),0,0,,
254,ai-tong,2010,3,0,0,,
255,ai-tong,2010,Total,0,330,,1
256,ai-tong,2011,1,0,0,,
257,ai-tong,2011,2A(1),0,0,,
258,ai-tong,2011,2A(2),0,0,,
259,ai-tong,2011,2B,61,20,,0.327868852459016
260,ai-tong,2011,2C,68,20,,0.294117647058823
261,ai-tong,2011,2C(S),0,0,,
262,ai-tong,2011,3,0,0,,
263,ai-tong,2011,Total,0,330,,1
264,ai-tong,2012,1,0,0,,
265,ai-tong,2012,2A(1),0,0,,
266,ai-tong,2012,2A(2),0,0,,
267,ai-tong,2012,2B,49,20,,0.408163265306122
268,ai-tong,2012,2C,58,20,,0.344827586206897
269,ai-tong,2012,2C(S),0,0,,
270,ai-tong,2012,3,0,0,,
271,ai-tong,2012,Total,0,330,,1
272,ai-tong,2013,1,0,0,,
273,ai-tong,2013,2A(1),0,0,,
274,ai-tong,2013,2A(2),0,0,,
275,ai-tong,2013,2B,25,8,,0.32
276,ai-tong,2013,2C,38,7,,0.184210526315789
277,ai-tong,2013,2C(S),0,0,,
278,ai-tong,2013,3,0,0,,
279,ai-tong,2013,Total,0,330,,1
280,ai-tong,2014,1,0,0,,
281,ai-tong,2014,2A(1),0,0,,
282,ai-tong,2014,2A(2),0,0,,
283,ai-tong,2014,2B,37,31,,0.837837837837838
284,ai-tong,2014,2C,49,30,,0.612244897959184
285,ai-tong,2014,2C(S),0,0,,
286,ai-tong,2014,3,0,0,,
287,ai-tong,2014,Total,0,330,,1
288,ai-tong,2015,1,0,0,,
289,ai-tong,2015,2A(1),0,0,,
290,ai-tong,2015,2A(2),0,0,,
291,ai-tong,2015,2B,28,20,,0.714285714285714
292,ai-tong,2015,2C,44,22,,0.5
293,ai-tong,2015,2C(S),0,0,,
294,ai-tong,2015,3,0,0,,
295,ai-tong,2015,Total,0,330,,1
296,ai-tong,2016,1,0,0,,
297,ai-tong,2016,2A(1),0,0,,
